,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
66,2021-08-08,19704,651.0,24790.0,2.6260588947156114,3.0967330638253188,17052.0,1179.0,168199.0,256902.0,414.0,237.0,26542.0,15.59792027729636,19.011045279898358,2055.0,115.32846715328466,138.69918309097406
67,2021-08-07,19496,630.0,26343.0,2.3915271609156132,3.0655439032828053,16907.0,1124.0,167785.0,256665.0,385.0,245.0,26319.0,14.628215357726358,19.435616823400927,1993.0,122.93025589563472,139.94140029719728
68,2021-08-06,24295,657.0,25432.0,2.583359547027367,2.951903796449303,21025.0,1448.0,167400.0,256420.0,408.0,249.0,25908.0,15.748031496062993,19.196523873586074,2076.0,119.94219653179191,139.2438384865616
69,2021-08-05,27517,693.0,25928.0,2.6727861771058317,2.9200077695560553,24005.0,1432.0,166992.0,256171.0,460.0,233.0,17822.0,25.810795645830993,19.608685262217243,1509.0,154.40689198144466,139.8618927052284
70,2021-08-04,28238,747.0,19237.0,3.8831418620367,2.8840659567783513,24728.0,1366.0,166532.0,255938.0,465.0,280.0,17981.0,25.860630665702686,19.795617448657513,1496.0,187.1657754010695,142.189958425988
71,2021-08-03,26411,680.0,19848.0,3.4260378879484077,2.8153477472094695,23087.0,1358.0,166067.0,255658.0,430.0,250.0,20858.0,20.61559114009013,20.0114994730768,1783.0,140.21312394840157,143.68787739757255
72,2021-08-02,25974,686.0,24010.0,2.857142857142857,2.710748702595257,22681.0,1327.0,165637.0,255408.0,441.0,245.0,23211.0,18.99961225281117,20.37739880767946,1762.0,139.04653802497162,143.9509745360105
73,2021-08-01,18213,645.0,27164.0,2.374466205271683,2.584060210304178,15949.0,890.0,165196.0,255163.0,416.0,226.0,24606.0,16.90644558237828,20.954409570114446,1717.0,131.62492719860222,152.06369407482995
74,2021-07-31,18003,593.0,31039.0,1.9104996939334387,2.349384746416249,15736.0,948.0,164780.0,254937.0,377.0,216.0,23359.0,16.13938952866133,21.43412902135581,1619.0,133.41568869672636,154.9393509697458
75,2021-07-30,21588,650.0,35113.0,1.8511662347278788,2.1964442201825567,18905.0,1090.0,164403.0,254721.0,436.0,213.0,23813.0,18.30932683828161,22.294038627468296,1749.0,121.78387650085763,160.16541613575944
76,2021-07-29,24790,758.0,42442.0,1.7859667310682816,2.02478525042132,21893.0,1050.0,163967.0,254508.0,509.0,249.0,17052.0,29.84987098287591,22.835082504465756,1179.0,211.19592875318065,167.7357830100851
77,2021-07-28,26343,728.0,32494.0,2.2404136148211977,1.8974487903762232,23269.0,1079.0,163458.0,254259.0,494.0,233.0,16907.0,29.218666824392262,23.73595493155217,1124.0,207.2953736654804,176.33234747847138
78,2021-07-27,25432,816.0,34643.0,2.3554542043125593,1.8372683359101154,22225.0,1218.0,162964.0,254026.0,560.0,256.0,21025.0,26.634958382877524,24.5737171474671,1448.0,176.79558011049724,181.04742161584204
79,2021-07-26,25928,830.0,50135.0,1.6555300688142018,1.8175847186801695,22482.0,1406.0,162404.0,253770.0,547.0,275.0,24005.0,22.786919391793376,25.119965158583607,1432.0,192.0391061452514,187.65661484260082
80,2021-07-25,19237,836.0,56368.0,1.4831109849560034,1.8604861125840664,16860.0,958.0,161857.0,253495.0,574.0,262.0,24728.0,23.212552571983178,26.086657272680437,1366.0,191.80087847730601,196.1695559998511
81,2021-07-24,19848,734.0,49287.0,1.489236512670684,1.9556508372813017,17294.0,1013.0,161283.0,253233.0,508.0,226.0,23087.0,22.003725040065838,26.560684606286397,1358.0,166.42120765832107,207.3937853194901
82,2021-07-23,24010,725.0,42314.0,1.7133809141182585,2.0805600436212255,20773.0,1239.0,160775.0,253007.0,502.0,223.0,22681.0,22.133062916097174,26.987375291076514,1327.0,168.0482290881688,214.24736561825262
83,2021-07-22,27164,827.0,39640.0,2.0862764883955602,2.2214748438765484,23658.0,1268.0,160273.0,252784.0,584.0,241.0,15949.0,36.61671578155371,27.046924486549738,890.0,270.7865168539326,220.01048650906705
84,2021-07-21,31039,783.0,26939.0,2.9065666877018446,2.3502026306762085,26940.0,1464.0,159689.0,252543.0,512.0,271.0,15736.0,32.53685815963396,26.671606707545937,948.0,285.86497890295357,221.60546229656694
85,2021-07-20,35113,805.0,24924.0,3.229818648692024,2.4026047808116826,30641.0,1561.0,159177.0,252272.0,560.0,245.0,18905.0,29.621793176408357,26.227879958290185,1090.0,224.77064220183487,221.40595127993134
86,2021-07-19,42442,752.0,28464.0,2.641933670601462,2.4314521949224512,37079.0,1801.0,158617.0,252027.0,508.0,244.0,21893.0,23.20376376010597,25.779295563919476,1050.0,232.38095238095238,214.16394659613076
87,2021-07-18,32494,698.0,29276.0,2.3842054925536273,2.451711491108198,28670.0,1276.0,158109.0,251783.0,479.0,219.0,23269.0,20.585328118956554,24.530712035051522,1079.0,202.96570898980536,203.51475435842312
88,2021-07-17,34643,622.0,33512.0,1.856051563619002,2.4625869275459387,30379.0,1425.0,157630.0,251564.0,420.0,201.0,22225.0,18.89763779527559,23.575034384564074,1218.0,165.02463054187191,189.33040467168053
89,2021-07-16,50135,593.0,30961.0,1.9153128128936405,2.440190032025293,44376.0,1676.0,157210.0,251363.0,427.0,165.0,22482.0,18.99297215550218,22.389886702108615,1406.0,117.35419630156473,177.74377655129845
