date,Overseas,UK,UK average,Overseas average,ratio,ratio average
2020-11-06,34,118,271.57142857142856,41.57142857142857,3.4705882352941178,6.1728927023111115
2020-11-07,29,119,258.0,38.57142857142857,4.103448275862069,6.159385630961994
2020-11-08,21,122,237.85714285714286,36.857142857142854,5.809523809523809,6.084839145701222
2020-11-09,16,126,224.71428571428572,34.714285714285715,7.875,6.283187840017659
2020-11-10,21,191,205.42857142857142,30.285714285714285,9.095238095238095,6.495659495346457
2020-11-11,27,227,154.71428571428572,25.571428571428573,8.407407407407407,6.706858789879085
2020-11-12,42,202,157.85714285714286,27.142857142857142,4.809523809523809,6.745407542713552
2020-11-13,25,192,168.42857142857142,25.857142857142858,7.68,6.9318501197443645
2020-11-14,16,118,168.28571428571428,24.0,7.375,6.832060203777978
2020-11-15,30,134,170.0,25.285714285714285,4.466666666666667,6.769866841584616
2020-11-16,22,119,169.0,26.142857142857142,5.409090909090909,6.741728313446087
2020-11-17,36,139,161.57142857142858,28.285714285714285,3.861111111111111,6.547019318737092
2020-11-18,21,114,145.42857142857142,27.428571428571427,5.428571428571429,6.54419867828579
2020-11-19,26,151,138.14285714285714,25.142857142857142,5.8076923076923075,6.286363920451032
2020-11-20,44,207,140.28571428571428,27.857142857142858,4.704545454545454,6.160049758422583
2020-11-21,35,176,148.57142857142858,30.571428571428573,5.0285714285714285,6.195696016925986
2020-11-22,20,117,146.14285714285714,29.142857142857142,5.85,6.094758065988034
2020-11-23,19,119,146.14285714285714,28.714285714285715,6.2631578947368425,6.058134248379497
2020-11-24,16,124,144.0,25.857142857142858,7.75,6.1286470688923185
2020-11-25,22,141,147.85714285714286,26.0,6.409090909090909,5.971937112182362
2020-11-26,37,367,178.71428571428572,27.571428571428573,9.91891891891892,6.1677688886593
2020-11-27,67,1087,304.42857142857144,30.857142857142858,16.223880597014926,6.775068524931719
2020-11-28,78,710,380.7142857142857,37.0,9.102564102564102,7.013121659536577
2020-11-29,56,520,438.2857142857143,42.142857142857146,9.285714285714286,7.17865453935517
2020-11-30,84,719,524.0,51.42857142857143,8.55952380952381,7.211250911237257
2020-12-01,31,206,535.7142857142857,53.57142857142857,6.645161290322581,7.094580587193663
2020-12-02,27,121,532.8571428571429,54.285714285714285,4.481481481481482,6.907631733578141
2020-12-03,29,139,500.2857142857143,53.142857142857146,4.793103448275862,6.906849811613954
2020-12-04,24,110,360.7142857142857,47.0,4.583333333333333,6.759389494153636
2020-12-05,22,96,273.0,39.0,4.363636363636363,6.6159912257553675
2020-12-06,19,108,214.14285714285714,33.714285714285715,5.684210526315789,6.673969504786278
2020-12-07,18,113,127.57142857142857,24.285714285714285,6.277777777777778,6.71533554615232
2020-12-08,16,104,113.0,22.142857142857142,6.5,6.840996921813696
2020-12-09,12,121,113.0,20.0,10.083333333333334,7.062652250611881
2020-12-10,25,143,113.57142857142857,19.428571428571427,5.72,7.058476426436057
2020-12-11,25,137,117.42857142857143,19.571428571428573,5.48,7.095402833362465
2020-12-12,25,113,119.85714285714286,20.0,4.52,7.071185146287634
2020-12-13,18,112,120.42857142857143,19.857142857142858,6.222222222222222,7.0889100140125025
2020-12-14,16,95,117.85714285714286,19.571428571428573,5.9375,7.073402495215509
2020-12-15,20,100,117.28571428571429,20.142857142857142,5.0,6.942450114263129
2020-12-16,21,111,115.85714285714286,21.428571428571427,5.285714285714286,6.888955989340432
