,Date,Evening Blend,Lunchtime
441,02/10/2022,131998,114114
442,03/10/2022,131993,114110
443,04/10/2022,132039,114117
444,05/10/2022,132053,114128
445,06/10/2022,132043,114133
446,07/10/2022,132086,114147
447,08/10/2022,132151,114206
448,09/10/2022,132263,114276
449,10/10/2022,132366,114266
450,11/10/2022,132342,114295
451,12/10/2022,132364,114318
452,13/10/2022,132418,114363
453,14/10/2022,132516,114409
454,15/10/2022,132634,114551
455,16/10/2022,132800,114683
456,17/10/2022,132917,114747
457,18/10/2022,133063,114871
458,19/10/2022,133190,114957
459,20/10/2022,133422,115154
460,21/10/2022,133662,115378
461,22/10/2022,133872,115563
462,23/10/2022,134132,115760
463,24/10/2022,134328,115869
464,25/10/2022,134432,115930
465,26/10/2022,134501,116001
466,27/10/2022,134601,116067
467,28/10/2022,134706,116169
468,29/10/2022,134860,116290
469,30/10/2022,135001,116417
470,31/10/2022,135143,116413
471,01/11/2022,135120,116366
472,02/11/2022,135100,116344
473,03/11/2022,135069,116294
474,04/11/2022,135015,116233
475,05/11/2022,134987,116238
476,06/11/2022,135006,116247
477,07/11/2022,135066,116173
478,08/11/2022,135023,116151
479,09/11/2022,135008,116113
480,10/11/2022,135019,116073
481,11/11/2022,134975,116065
482,12/11/2022,134961,116081
483,13/11/2022,135013,116105
484,14/11/2022,135100,116081
485,15/11/2022,135062,116042
486,16/11/2022,135055,116007
487,17/11/2022,135084,116005
488,18/11/2022,135083,116008
489,19/11/2022,135109,116046
490,20/11/2022,135174,116084
491,21/11/2022,135266,116083
492,22/11/2022,135241,116057
493,23/11/2022,135214,116027
494,24/11/2022,135228,116039
495,25/11/2022,135264,116050
496,26/11/2022,135257,116099
497,27/11/2022,135318,116145
498,28/11/2022,135419,116113
499,29/11/2022,135375,116074
500,30/11/2022,135337,116057
501,01/12/2022,135343,116057
502,02/12/2022,135383,116053
503,03/12/2022,135417,116128
504,04/12/2022,135515,116198
505,05/12/2022,135630,116217
506,06/12/2022,135612,116231
507,07/12/2022,135645,116254
508,09/12/2022,135748,116348
509,10/12/2022,135768,116440
510,11/12/2022,135750,116460
511,12/12/2022,135831,116470
512,13/12/2022,135794,116470
513,14/12/2022,135753,116458
514,15/12/2022,135748,116463
515,16/12/2022,135787,116505
516,17/12/2022,135820,116614
517,18/12/2022,135906,116722
518,19/12/2022,136070,116819
519,20/12/2022,136067,116869
520,21/12/2022,136085,116907
521,22/12/2022,136060,116983
522,23/12/2022,136066,117074
523,24/12/2022,136096,117181
524,25/12/2022,136077,117185
525,26/12/2022,136123,117237
526,27/12/2022,136198,117318
527,28/12/2022,136229,117411
528,29/12/2022,136240,117528
529,30/12/2022,136251,117643
530,31/12/2022,136273,117756
531,01/01/2023,136321,117845
532,02/01/2023,136404,117774
533,03/01/2023,136352,117752
534,04/01/2023,136312,117747
535,05/01/2023,136307,117757
536,06/01/2023,136332,117816
537,07/01/2023,136464,118035
538,08/01/2023,136580,118174
539,09/01/2023,136701,118184
540,10/01/2023,136674,118205
541,11/01/2023,136688,118237
542,12/01/2023,136850,118231
543,13/01/2023,136895,118259
544,14/01/2023,136950,118389
545,15/01/2023,137035,118473
546,16/01/2023,137172,118453
547,17/01/2023,137125,118466
548,18/01/2023,137187,118459
549,19/01/2023,137204,118396
550,20/01/2023,137153,118331
551,21/01/2023,137184,118395
552,22/01/2023,137184,118406
553,23/01/2023,137287,118367
554,24/01/2023,137213,118355
555,25/01/2023,137144,118398
556,26/01/2023,137150,118419
557,27/01/2023,137131,118415
558,28/01/2023,137179,118480
559,29/01/2023,137286,118563
560,30/01/2023,137414,118540
561,31/01/2023,137460,118606
562,01/02/2023,137498,118596
563,02/02/2023,137497,118612
564,03/02/2023,137495,118578
565,04/02/2023,137541,118647
566,05/02/2023,137638,118708
567,06/02/2023,137650,118676
568,07/02/2023,137671,118658
569,08/02/2023,137659,118645
570,09/02/2023,137603,118661
571,10/02/2023,137624,118649
572,11/02/2023,137636,118666
573,12/02/2023,137776,118788
574,13/02/2023,137872,118777
575,14/02/2023,137816,118755
576,15/02/2023,137828,118760
577,16/02/2023,137859,118763
578,17/02/2023,137854,118767
579,18/02/2023,137875,118829
580,19/02/2023,137983,118927
581,20/02/2023,138117,118886
582,21/02/2023,138118,118897
583,22/02/2023,138190,118940
584,23/02/2023,138227,118985
585,24/02/2023,138282,119030
586,25/02/2023,138307,119079
587,26/02/2023,138384,119126
588,27/02/2023,138455,119091
589,28/02/2023,138463,119134
590,01/03/2023,138473,119168
591,02/03/2023,138350,119215
592,03/03/2023,138392,119273
593,04/03/2023,138446,119355
594,05/03/2023,138561,119458
595,06/03/2023,138686,119480
596,07/03/2023,138745,119379
597,08/03/2023,138838,119432
598,09/03/2023,138869,119466
599,10/03/2023,138876,119496
600,11/03/2023,138886,119563
601,12/03/2023,139017,119668
602,13/03/2023,139100,119623
603,14/03/2023,138960,119548
604,15/03/2023,138876,119460
605,16/03/2023,139075,119660
606,17/03/2023,139106,119672
607,18/03/2023,139152,119795
608,19/03/2023,139217,119843
609,20/03/2023,139274,119805
610,21/03/2023,139219,119775
611,22/03/2023,139200,119756
612,23/03/2023,139235,119738
613,24/03/2023,139222,119743
614,25/03/2023,139234,119795
615,26/03/2023,139334,119885
616,27/03/2023,139435,119883
617,28/03/2023,139367,119861
618,29/03/2023,139348,119869
619,30/03/2023,139298,119851
620,31/03/2023,139305,119832
621,01/04/2023,139372,119911
622,02/04/2023,139464,119994
623,03/04/2023,139456,119956
