date,unique page views,ga:users,pageviews per subscriber,average
2020-10-14,54963,15479,3.5508107758899152,3.207891301658102
2020-10-15,72591,17973,4.038891670839592,3.232932423404365
2020-10-16,48701,14313,3.4025710892195904,3.2672544945182893
2020-10-17,45508,15173,2.9992750280102816,3.3163954373996907
2020-10-18,33010,11339,2.9111914630919835,3.3920239304821265
2020-10-19,48398,14860,3.2569313593539704,3.375154646024705
2020-10-20,58106,16374,3.548674728227678,3.386906587804716
2020-10-21,44851,14610,3.069883641341547,3.318202711440663
2020-10-22,64046,16879,3.794419100657622,3.2832780585575247
2020-10-23,45567,14119,3.2273532119838517,3.258246933238133
2020-10-24,43046,14748,2.9187686465961487,3.2467460216075428
2020-10-25,29273,11367,2.575261722530131,3.1987560586701353
2020-10-26,40802,14815,2.754100573742828,3.126923089297115
2020-10-27,51144,15945,3.2075258701787392,3.0781875381472665
2020-10-28,45943,15281,3.0065440743406846,3.069139028575715
2020-10-29,76612,18627,4.112954313630751,3.1146440590004474
2020-10-30,47940,14971,3.2021909024113286,3.1110494433472304
2020-10-31,57607,17261,3.337408029662244,3.1708550694995297
2020-11-01,48148,15136,3.181025369978858,3.257392733420776
2020-11-02,52738,16116,3.2724000992802185,3.33143552278326
2020-11-03,52916,16115,3.2836487744337575,3.34231022339112
2020-11-04,56089,16224,3.457162228796844,3.406684245456286
2020-11-05,75020,18067,4.152321912879836,3.4123081882061554
2020-11-06,52195,15567,3.352926061540438,3.4338417823674563
2020-11-07,47400,15573,3.0437295318821036,3.391887711256008
2020-11-08,34903,12723,2.743299536272892,3.329355449298013
2020-11-09,54625,15551,3.512635843354125,3.3636748413085713
2020-11-10,52021,15453,3.366401346016955,3.375496637249028
2020-11-11,54263,15492,3.502646527239866,3.38199439416946
2020-11-12,71174,18316,3.8858921161825726,3.343932994641279
2020-11-13,57710,16727,3.4501105996293417,3.3578165000825506
2020-11-14,49260,15726,3.132392216711179,3.3704825979152764
2020-11-15,38611,12472,3.0958146247594613,3.4208418962705
2020-11-16,50957,15524,3.2824658593146094,3.3879604699791406
2020-11-17,49679,15949,3.1148661358078877,3.352026868520703
