date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2020-06-06,69200,9089,78289,11.609549234247469,15.60695319641284
2020-06-07,59249,6580,65829,9.99559464673624,14.570719305741068
2020-06-08,81063,4836,85899,5.629867635246045,13.469405963967759
2020-06-09,76901,3048,79949,3.812430424395552,13.027157656824027
2020-06-10,80317,3245,83562,3.8833441037792302,12.667162489723134
2020-06-11,74286,36461,110747,32.922787976198,12.397893131270346
2020-06-12,64749,17939,82688,21.694804566563466,12.792625512452288
2020-06-13,63033,8982,72015,12.47240158300354,12.915890133703154
2020-06-14,51973,7017,58990,11.89523648075945,13.187267538563612
2020-06-15,68129,7146,75275,9.493191630687479,13.739170966483815
2020-06-16,76659,3999,80658,4.957970691065982,13.902819576008167
2020-06-17,78227,2856,81083,3.5223166385062217,13.851244223826304
2020-06-18,67703,42280,109983,38.442304719820335,14.639746615772353
2020-06-19,57311,19987,77298,25.857072628011075,15.234356338836298
2020-06-20,53857,12821,66678,19.22823120069588,16.19947485564949
2020-06-21,42106,10141,52247,19.409726874270294,17.272973483293896
2020-06-22,56681,12834,69515,18.462202402359203,18.554260736389857
2020-06-23,74862,6840,81702,8.371888081075127,19.041963220676877
2020-06-24,67905,3703,71608,5.171209920679254,19.27751940384445
2020-06-25,72709,33230,105939,31.367107486383674,18.266776941924928
2020-06-26,63143,18456,81599,22.61792423926764,17.804041457818723
2020-06-27,69383,13273,82656,16.058120402632596,17.35116848666683
2020-06-28,51025,8871,59896,14.810671831174036,16.694160623367363
2020-06-29,77663,7585,85248,8.897569444444445,15.327784486522395
2020-06-30,74847,6103,80950,7.539221741815935,15.208832152342511
2020-07-01,75591,4896,80487,6.082969920608297,15.339083580903804
2020-07-02,69285,36072,105357,34.237876932714485,15.749193501808206
2020-07-03,62306,19972,82278,24.27380344685092,15.9857476743201
2020-07-04,64158,14020,78178,17.93343395840262,16.253649610858677
2020-07-05,42876,12501,55377,22.57435397367138,17.362747059786866
2020-07-06,66259,6955,73214,9.499549266533723,17.448744177228196
2020-07-07,66324,3935,70259,5.600705959378869,17.171813351165756
2020-07-08,63175,3370,66545,5.064242242091818,17.026280825663402
2020-07-09,61643,32982,94625,34.8554821664465,17.114510144767973
2020-07-10,51706,15513,67219,23.078296315029977,16.943723411650698
2020-07-11,49725,9782,59507,16.438402204782633,16.730147446847845
2020-07-12,39646,8515,48161,17.680280725068002,16.03099412561879
2020-07-13,58377,6953,65330,10.642889943364457,16.19432850802318
2020-07-14,70184,4449,74633,5.961169991826671,16.24582336980144
2020-07-15,75039,3948,78987,4.998290857989289,16.236401743501077
2020-07-16,60036,36251,96287,37.6489037980205,16.635461976583077
2020-07-17,52531,14767,67298,21.942702606318168,16.47323430390996
2020-07-18,48509,8651,57160,15.134709587123861,16.286992501387278
2020-07-19,38567,8495,47062,18.050656580680805,16.33990333790339
2020-07-20,63696,6906,70602,9.781592589445058,16.216860858772048
2020-07-21,64075,4038,68113,5.92838371529664,16.212177104982043
2020-07-22,55717,3310,59027,5.607603300184661,16.299221739581384
2020-07-23,53176,33351,86527,38.54403827706959,16.427098093731257
2020-07-24,56343,13363,69706,19.170516167905202,16.03107145967226
2020-07-25,50452,6714,57166,11.744743378931533,15.546790572787643
2020-07-26,40562,6630,47192,14.048991354466859,14.975124111899934
2020-07-27,65478,6245,71723,8.707109295484015,14.821626498476927
2020-07-28,60858,7172,68030,10.542407761281787,15.480772790760522
2020-07-29,59568,4243,63811,6.649323784300512,15.62959000277707
2020-07-30,56247,30978,87225,35.515047291487534,15.196877004836779
2020-07-31,51163,13328,64491,20.666449582112236,15.410581778294926
2020-08-01,43801,8813,52614,16.750294598395865,16.125660523932687
2020-08-02,35187,7182,42369,16.951072718260992,16.54024357590328
2020-08-03,58325,5901,64226,9.187867841684053,16.60892336821757
2020-08-04,59835,3669,63504,5.777588813303099,15.928234947077756
2020-08-05,63039,3050,66089,4.614988878633358,15.637615674839592
2020-08-06,51220,33210,84430,39.33435982470686,16.183231751013782
2020-08-07,46500,18200,64700,28.129829984544045,17.249428951361182
2020-08-08,44216,12221,56437,21.65423392455304,17.949991712240777
2020-08-09,37541,11597,49138,23.600879156660834,18.899964060583613
2020-08-10,55231,7706,62937,12.243990021767798,19.33655294345272
2020-08-11,59529,4398,63927,6.879722183115115,19.494000567711577
2020-08-12,67371,2461,69832,3.5241722992324434,19.338169627797164
2020-08-13,19792,13287,33079,40.1674778560416,19.45718648941641
2020-08-14,53530,14705,68235,21.55052392467209,18.51728562372042
2020-08-15,52967,8364,61331,13.637475338735713,17.372034397175085
2020-08-16,44227,8317,52544,15.82863885505481,16.26171435408851
2020-08-17,54164,6982,61146,11.4185719425637,16.14379748563078
2020-08-18,52182,5234,57416,9.115925874320748,16.463255155803015
2020-08-19,59984,3640,63624,5.721111530240161,16.77710361737555
2020-08-20,57723,34258,91981,37.24464835128994,16.359556545268166
2020-08-21,50548,16477,67025,24.583364416262587,16.792819472638236
2020-08-22,50578,8501,59079,14.389207671084481,16.90020980583092
2020-08-23,39377,7890,47267,16.69240696468995,17.02360525006451
2020-08-24,50473,8068,58541,13.781793956372457,17.36120839489433
2020-08-25,72221,4611,76832,6.001405664306539,16.916276936320873
2020-08-26,64913,2947,67860,4.342764515178308,16.719370219883466
2020-08-27,52753,37216,89969,41.36535917927286,17.308043195309597
2020-08-28,50095,18662,68757,27.141963727329582,17.673557382604884
2020-08-29,48651,10478,59129,17.720577043413556,18.149467292937608
2020-08-30,39833,9773,49606,19.701245817038263,18.579301414701654
2020-08-31,47624,6892,54516,12.642160099787219,18.416496578046615
2020-09-01,55868,6198,62066,9.986143782425161,18.985744880634993
2020-09-02,63886,3392,67278,5.041766996640804,19.085602377986778
2020-09-03,63461,32786,96247,34.0644383721051,18.042613691248526
2020-09-04,61202,16932,78134,21.67046356259759,17.260970810572527
2020-09-05,60914,9900,70814,13.980286384048352,16.726643573520356
2020-09-06,46165,7077,53242,13.292137785958454,15.811056711937525
2020-09-07,68854,7230,76084,9.502654960307028,15.36255597772607
2020-09-08,73272,3561,76833,4.63472726562805,14.598067903897912
2020-09-09,72265,3845,76110,5.051898567862305,14.59951527121527
2020-09-10,64938,30720,95658,32.11440757699304,14.320939443342116
2020-09-11,60280,14411,74691,19.294158600099077,13.98146730584233
2020-09-12,51921,8269,60190,13.738162485462702,13.94687817747295
2020-09-13,44069,7874,51943,15.158924205378973,14.213561951675883
2020-09-14,67434,6787,74221,9.144312256638957,14.162370136866157
2020-09-15,73808,5390,79198,6.805727417359024,14.472513015684868
2020-09-16,74770,2888,77658,3.7188699168147514,14.282080351249503
2020-09-17,57783,41808,99591,41.979696960568724,15.69140740604603
2020-09-18,56447,18651,75098,24.835548216996457,16.483034494174227
2020-09-19,57735,9601,67336,14.258346204110728,16.55734645398109
2020-09-20,48617,7513,56130,13.38499910921076,16.303928583099914
2020-09-21,81316,6235,87551,7.121563431599867,16.01496446523719
2020-09-22,85495,3033,88528,3.4260347008855954,15.532151220026696
2020-09-23,80532,3421,83953,4.0748990506592975,15.583012524861632
2020-09-24,64568,33128,97696,33.90926957091385,14.43009432633951
2020-09-25,61493,14976,76469,19.584406753063334,13.679931260063345
2020-09-26,52638,9278,61916,14.984818140706762,13.783712965291352
2020-09-27,45401,10233,55634,18.39342847898767,14.499202875259483
2020-09-28,77805,7202,85007,8.472243462303105,14.692157165359946
2020-09-29,66926,4158,71084,5.849417590456361,15.038354721012912
2020-09-30,81442,3370,84812,3.9734943168419563,15.023868330467577
2020-10-01,69635,38612,108247,35.67027261725498,15.275440194230596
2020-10-02,72023,19572,91595,21.367978601452045,15.530236172571842
2020-10-03,65419,9198,74617,12.326949622740125,15.15054067000518
2020-10-04,52397,6852,59249,11.564752147715573,14.175015479823449
2020-10-05,69148,9332,78480,11.890927624872578,14.663398931619087
2020-10-06,66707,7294,74001,9.856623559141092,15.235856927145479
2020-10-07,69889,5644,75533,7.472230680629659,15.73567640768658
2020-10-08,70072,28898,98970,29.19874709507932,14.811172761661483
2020-10-09,58535,15118,73653,20.525979932928735,14.690887237586725
2020-10-10,53547,7433,60980,12.189242374549032,14.671214773559427
2020-10-11,42473,6662,49135,13.558563142362878,14.9560449156519
2020-10-12,76635,6112,82747,7.38637050285811,14.31253675536412
2020-10-13,78386,3449,81835,4.2145781144986865,13.506530263272344
2020-10-14,81946,3054,85000,3.5929411764705885,12.952346048392476
2020-10-15,64266,43027,107293,40.102336592321954,14.510001690855713
2020-10-16,59258,19247,78505,24.516909750971276,15.080134522004647
2020-10-17,60395,9742,70137,13.889958224617535,15.32309392915729
2020-10-18,47342,9748,57090,17.074794184620774,15.825412649479846
2020-10-19,69494,9672,79166,12.217366040977188,16.515554869211144
2020-10-20,84021,5512,89533,6.156389264293613,16.79295646203899
2020-10-21,70940,4203,75143,5.593335373887122,17.078727061669927
2020-10-22,56799,41195,97994,42.03828805845256,17.35529155683144
2020-10-23,57757,16993,74750,22.733110367892976,17.100463073534538
2020-10-24,55826,11638,67464,17.250681845132217,17.58056644789378
2020-10-25,43551,8973,52524,17.083618917066484,17.58182712395745
2020-10-26,63313,7112,70425,10.09868654597089,17.279158624670835
2020-10-27,76316,5024,81340,6.1765429063191535,17.28203771638877
2020-10-28,72735,3917,76652,5.110108020664823,17.213005237357013
2020-10-29,81325,33171,114496,28.97131777529346,15.346295196905714
2020-10-30,64929,15185,80114,18.95424020770402,14.806456602593007
2020-10-31,82781,6851,89632,7.643475544448411,13.433998559638178
2020-11-01,71431,6096,77527,7.863067060507952,12.1167768658441
2020-11-02,83861,3959,87820,4.508084718742883,11.318119461954387
2020-11-03,84701,3856,88557,4.354257709723681,11.057793005297892
2020-11-04,91496,1816,93312,1.946159122085048,10.605800305500779
2020-11-05,79296,35202,114498,30.744641827804852,10.859132313002407
2020-11-06,71475,14787,86262,17.141962857341586,10.600235548664916
2020-11-07,68913,7118,76031,9.361970775078586,10.845734867326371
2020-11-08,53746,8654,62400,13.868589743589743,11.703666679195196
2020-11-09,79544,8265,87809,9.41247480326618,12.404293834127097
2020-11-10,80941,4290,85231,5.0333798735201984,12.501311286098028
2020-11-11,83463,3474,86937,3.995997101349253,12.794145283135771
2020-11-12,74438,33348,107786,30.93908299779192,12.821922593133923
2020-11-13,78147,13793,91940,15.00217533173809,12.516238660904852
2020-11-14,69885,7519,77404,9.713968270373623,12.566524017375572
2020-11-15,57235,7134,64369,11.082974723857758,12.168579014556718
2020-11-16,76227,7028,83255,8.441535042940364,12.029873334510173
2020-11-17,75489,6457,81946,7.8795792351060445,12.436473243308152
2020-11-18,74252,5369,79621,6.743195890531392,12.828930213191313
2020-11-19,67675,39568,107243,36.895648200814975,13.679868099337464
2020-11-20,61445,19254,80699,23.859031710430116,14.945133296293468
2020-11-21,52804,10576,63380,16.686651940675294,15.941230963479422
2020-11-22,47950,6995,54945,12.73091273091273,16.176650678772987
2020-11-23,67696,5853,73549,7.957959999456145,16.107568529703816
2020-11-24,74385,4753,79138,6.005964264954889,15.839909248253647
2020-11-25,76148,3283,79431,4.133147008095076,15.467045122191319
2020-11-26,66236,34031,100267,33.94037918756919,15.044863834584776
2020-11-27,70391,16773,87164,19.243036115827636,14.385435892498707
2020-11-28,68458,8425,76883,10.95820922700727,13.567086933403276
2020-11-29,50460,7034,57494,12.234320102967267,13.496145129411067
